gene	gene_id	transcript	oe_lof_upper	obs_lof	exp_lof	mu_lof	cds_length	canonical	chr.hg38	gene_start	gene_end	transcript_start	transcript_end	gene_length	transcript_length	ccr_length
SIAH1	ENSG00000196470	ENST00000356721	0.499	2	12.624	1.45770225e-06	939	1	16	48356364	48448402	48360531	48365901	92039	5371	942
ZNF799	ENSG00000196466	ENST00000419318	1.171	0	2.4439	4.376105e-07	1833	0	19	12390016	12401271	12390016	12400980	11256	10965	0
ZNF775	ENSG00000196456	ENST00000329630	0.827	8	17.452	1.51686325e-06	1611	1	7	150368790	150398630	150379330	150398630	29841	19301	1169
PIK3R4	ENSG00000196455	ENST00000356763	0.39	16	62.253	5.7598225e-06	4074	1	3	130678934	130746829	130678934	130746829	67896	67896	4071
ZNF777	ENSG00000196453	ENST00000247930	0.096	0	30.982	2.393575e-06	2493	1	7	149431363	149461062	149431363	149461062	29700	29700	2477
ZNF569	ENSG00000196437	ENST00000316950	0.97	15	23.805	1.941325e-06	2058	1	19	37411155	37469275	37411157	37467444	58121	56288	2119
NPIPB15	ENSG00000196436	ENST00000429990	1.91	7	5.1681	4.2801275e-07	1329	1	16	74376306	74392115	74377878	74392080	15810	14203	0
CRYBA4	ENSG00000196431	ENST00000354760	1.388	14	15.759	1.9177075e-06	588	1	22	26621963	26630669	26621963	26630669	8707	8707	557
NBPF4	ENSG00000196427	ENST00000415641	1.466	4	6.1129	4.3632075e-07	1914	1	1	108222464	108244081	108222464	108244076	21618	21613	0
XRCC6	ENSG00000196419	ENST00000359308	0.218	2	28.937	2.5984275e-06	1827	1	22	41621163	41664048	41621350	41664039	42886	42690	1829
ZNF124	ENSG00000196418	ENST00000340684	1.73	3	3.8938	2.754705e-07	867	1	1	247121975	247172020	247155901	247172016	50046	16116	1021
ZNF765	ENSG00000196417	ENST00000396408	1.959	6	2.9855	2.15405e-07	1569	1	19	53389793	53430413	53395149	53412009	40621	16861	0
PRTN3	ENSG00000196415	ENST00000234347	1.647	7	7.6991	6.899995e-07	768	1	19	840999	848175	840999	848175	7177	7177	731
EPHB4	ENSG00000196411	ENST00000358173	0.422	14	51.806	5.1534725e-06	2961	1	7	100802565	100827523	100802565	100827523	24959	24959	2964
THEM5	ENSG00000196407	ENST00000368817	1.869	14	10.584	7.47184e-07	741	1	1	151847101	151853712	151847101	151853712	6612	6612	825
EVL	ENSG00000196405	ENST00000392920	0.238	2	26.505	2.1769975e-06	1254	1	14	99971449	100144236	100065422	100144236	172788	78815	1321
PTPN1	ENSG00000196396	ENST00000371621	0.382	5	27.526	2.7738e-06	1305	1	20	50510321	50585241	50510383	50585241	74921	74859	1304
ZNF774	ENSG00000196391	ENST00000354377	1.484	22	21.154	2.20229e-06	1449	1	15	90352284	90369146	90352284	90362847	16863	10564	1495
ZNF140	ENSG00000196387	ENST00000319849	1.878	1	1.1551	8.830935e-07	342	0	12	133080474	133107526	133080932	133105590	27053	24659	0
ZNF34	ENSG00000196378	ENST00000343459	0.721	9	21.776	1.9676225e-06	1680	1	8	144772224	144787348	144773114	144787304	15125	14191	1681
SLC35F1	ENSG00000196376	ENST00000360388	0.341	3	22.728	2.3830225e-06	1224	1	6	117907264	118317676	117907264	118317671	410413	410408	1208
ASB13	ENSG00000196372	ENST00000357700	1.778	13	11.079	9.340135e-07	834	1	10	5638867	5666595	5638867	5666595	27729	27729	774
FUT4	ENSG00000196371	ENST00000358752	1.137	10	14.918	1.15774325e-06	1590	1	11	94543921	94549895	94543921	94549895	5975	5975	1264
TRRAP	ENSG00000196367	ENST00000355540	0.054	5	194.09	1.777845e-05	11490	0	7	98877933	99050831	98878490	99013243	172899	134754	11655
LONP1	ENSG00000196365	ENST00000360614	0.244	5	43.017	3.5163275e-06	2877	1	19	5691834	5720572	5691834	5720146	28739	28313	2826
ELAVL3	ENSG00000196361	ENST00000359227	0.462	2	13.615	9.81081e-07	1101	1	19	11451326	11481046	11451326	11481046	29721	29721	1104
ZNF565	ENSG00000196357	ENST00000304116	0.818	12	23.759	2.25857e-06	1497	1	19	36182276	36246257	36182276	36214665	63982	32390	1564
CPNE4	ENSG00000196353	ENST00000429747	0.473	8	30.502	2.579165e-06	1671	1	3	131533555	132285410	131533569	132035014	751856	501446	1674
CD55	ENSG00000196352	ENST00000314754	1.273	19	21.895	1.90481e-06	1320	1	1	207321519	207386804	207321701	207360501	65286	38801	1212
ZKSCAN7	ENSG00000196345	ENST00000273320	0.716	13	28.879	2.8426425e-06	2262	1	3	44555193	44594173	44555208	44572158	38981	16951	2209
ADH7	ENSG00000196344	ENST00000209665	1.737	18	15.033	1.03908625e-06	1158	0	4	99412261	99435510	99412261	99435510	23250	23250	1236
STK31	ENSG00000196335	ENST00000354639	0.394	13	52.404	4.261535e-06	2988	0	7	23710203	23832513	23710326	23832507	122311	122182	3010
GIMAP5	ENSG00000196329	ENST00000358647	1.883	1	1.1056	7.88054e-08	921	1	7	150722253	150750033	150737418	150743646	27781	6229	923
ZBTB44	ENSG00000196323	ENST00000357899	0.123	0	24.323	2.379505e-06	1710	1	11	130226677	130314917	130226677	130314917	88241	88241	1710
IARS	ENSG00000196305	ENST00000375627	1.012	4	9.0386	6.8675e-06	522	0	9	92210207	92293854	92229001	92245101	83648	16101	664
ATP2A1	ENSG00000196296	ENST00000357084	0.833	30	48.835	5.00222e-06	3003	1	16	28878405	28904466	28878405	28904464	26062	26060	3032
NIF3L1	ENSG00000196290	ENST00000359683	1.311	14	16.693	1.8894e-06	1050	0	2	200889327	200903938	200889388	200903930	14612	14543	1152
GRM7	ENSG00000196277	ENST00000357716	0.244	4	37.551	3.226385e-06	2745	1	3	6770001	7741533	6861115	7741533	971533	880419	2884
ZNF493	ENSG00000196268	ENST00000339914	1.929	7	4.74	3.7297225e-07	309	0	19	21397119	21427577	21397156	21408799	30459	11644	145
ZNF471	ENSG00000196263	ENST00000308031	0.867	12	22.424	1.6838775e-06	1878	1	19	56507850	56530221	56507855	56530212	22372	22358	1860
PPIA	ENSG00000196262	ENST00000355968	1.224	1	3.7962	4.654825e-07	315	0	7	44796680	44824564	44796681	44801631	27885	4951	502
SFTA2	ENSG00000196260	ENST00000359086	1.792	2	2.674	1.8862175e-07	234	1	6	30931353	30955636	30931353	30932170	24284	818	0
ZNF107	ENSG00000196247	ENST00000344930	1.901	2	1.7126	1.18631875e-07	2349	0	7	64666099	64711577	64666198	64711026	45479	44829	1975
OR2C3	ENSG00000196242	ENST00000366487	1.436	4	6.2652	6.151605e-07	960	1	1	247524677	247536440	247524677	247536440	11764	11764	962
XPNPEP3	ENSG00000196236	ENST00000357137	0.879	17	29.005	3.23744e-06	1521	1	22	40857077	40932815	40857148	40932815	75739	75668	1586
SUPT5H	ENSG00000196235	ENST00000359191	0.075	1	63.242	5.75798e-06	3249	0	19	39436156	39476670	39445644	39476670	40515	31027	3264
LCOR	ENSG00000196233	ENST00000356016	0.345	2	18.255	1.8024675e-06	1299	0	10	96832254	96995956	96832955	96958891	163703	125937	1309
TUBB	ENSG00000196230	ENST00000327892	0.292	1	16.22	1.55723075e-06	1332	1	6	30717435	30725538	30720352	30725422	8104	5071	0
SULT1C3	ENSG00000196228	ENST00000329106	1.926	22	14.29	1.01211875e-06	912	1	2	108239968	108265351	108239971	108265351	25384	25381	1096
KRTAP5-3	ENSG00000196224	ENST00000399685	1.679	1	2.2723	1.68103e-07	714	1	11	1607565	1608463	1607565	1608463	899	899	0
SRGAP3	ENSG00000196220	ENST00000360413	0.218	6	54.371	5.07525e-06	3225	0	3	8980591	9363053	8980594	9249213	382463	268620	3331
RYR1	ENSG00000196218	ENST00000355481	0.458	97	250.6	2.328585e-05	15099	0	19	38433691	38595273	38433699	38587564	161583	153866	14481
ZNF766	ENSG00000196214	ENST00000439461	1.868	7	5.8317	4.289675e-07	1404	1	19	52269587	52296046	52269587	52296046	26460	26460	1415
SIRPB2	ENSG00000196209	ENST00000359801	1.123	7	11.703	8.3597575e-07	1026	1	20	1470741	1491587	1474578	1491420	20847	16843	1206
GREB1	ENSG00000196208	ENST00000234142	0.476	31	87.877	7.02562e-06	5847	0	2	11482341	11642788	11556353	11642786	160448	86434	6201
MPHOSPH8	ENSG00000196199	ENST00000361479	0.525	12	37.033	3.2000875e-06	2580	1	13	19633659	19673441	19633659	19673441	39783	39783	1718
SEMA4A	ENSG00000196189	ENST00000355014	0.641	14	34.128	3.0932225e-06	2283	0	1	156147366	156177752	156150019	156177744	30387	27726	2277
CTSE	ENSG00000196188	ENST00000358184	1.618	20	17.862	1.2730335e-06	1188	1	1	206008535	206023909	206009264	206023895	15375	14632	1249
TMEM63A	ENSG00000196187	ENST00000366835	0.834	26	43.235	3.08803e-06	2421	1	1	225845536	225882380	225845536	225882380	36845	36845	2418
OR10J1	ENSG00000196184	ENST00000423932	1.929	8	5.4096	5.3594975e-07	960	1	1	159437845	159443078	159439722	159440967	5234	1246	959
STK40	ENSG00000196182	ENST00000359297	0.295	1	16.08	1.627497e-06	1251	0	1	36339624	36385924	36339624	36361340	46301	21717	1484
ACADSB	ENSG00000196177	ENST00000358776	1.172	19	23.791	1.82039e-06	1296	1	10	123008979	123058290	123009006	123058290	49312	49285	1299
OR6K2	ENSG00000196171	ENST00000359610	1.883	9	7.0092	7.736155e-07	972	1	1	158699678	158700652	158699678	158700652	975	975	952
FAT4	ENSG00000196159	ENST00000394329	0.184	16	132.26	1.20223125e-05	14943	1	4	125314918	125492932	125314955	125492932	178015	177978	15067
PLEKHG4	ENSG00000196155	ENST00000360461	0.766	36	62.035	6.2779e-06	3573	1	16	67277510	67289499	67277510	67289479	11990	11970	3541
S100A4	ENSG00000196154	ENST00000354332	1.864	3	2.934	2.0379725e-07	303	0	1	153543613	153550136	153543613	153545802	6524	2190	304
ZNF79	ENSG00000196152	ENST00000342483	0.686	7	19.162	1.658116e-06	1494	1	9	127424374	127445372	127424382	127445372	20999	20991	1405
WDSUB1	ENSG00000196151	ENST00000358147	1.507	16	16.084	1.679355e-06	1152	0	2	159235798	159286703	159235798	159286703	50906	50906	1428
ZNF250	ENSG00000196150	ENST00000292579	0.499	5	21.05	1.6283345e-06	1680	1	8	144876497	144902168	144876951	144901461	25672	24511	1705
SPATS2L	ENSG00000196141	ENST00000358677	0.434	5	24.224	1.843505e-06	1674	1	2	200305881	200482264	200305986	200482263	176384	176278	1792
AKR1C3	ENSG00000196139	ENST00000380554	1.861	30	20.959	2.3327725e-06	969	1	10	5035354	5107686	5094414	5107686	72333	13273	916
SERPINA3	ENSG00000196136	ENST00000393078	1.902	17	11.884	1.0086515e-06	1269	1	14	94612384	94624055	94612391	94624053	11672	11663	1242
MYT1	ENSG00000196132	ENST00000328439	0.304	10	55.779	5.0338775e-06	3363	1	20	64102394	64242253	64164452	64242253	139860	77802	3352
HLA-DRB1	ENSG00000196126	ENST00000360004	1.156	6	10.241	7.76128e-07	798	1	6	32577902	32589848	32578775	32589848	11947	11074	0
OR8A1	ENSG00000196119	ENST00000284287	1.501	4	5.9378	4.2084375e-07	978	1	11	124566660	124582942	124569997	124571374	16283	1378	980
TDRD7	ENSG00000196116	ENST00000355295	0.482	15	47.906	4.0590275e-06	3294	1	9	97412096	97496125	97412096	97496125	84030	84030	3279
ZNF699	ENSG00000196110	ENST00000308650	0.872	12	22.284	1.65913775e-06	1926	0	19	9291140	9309838	9295310	9305119	18699	9810	1923
ZNF676	ENSG00000196109	ENST00000397121	1.606	1	2.5412	1.79426e-07	1764	1	19	22179089	22215801	22179089	22196951	36713	17863	0
SPOCK3	ENSG00000196104	ENST00000357154	0.569	8	25.368	1.8192175e-06	1308	1	4	166733384	167234796	166733384	167234587	501413	501204	1328
OR6M1	ENSG00000196099	ENST00000309154	1.802	6	5.7905	5.1858e-07	939	1	11	123805408	123806349	123805408	123806349	942	942	936
OR5K4	ENSG00000196098	ENST00000354924	1.926	7	4.8079	3.2965675e-07	963	1	3	98353854	98354819	98353854	98354819	966	966	965
PAX5	ENSG00000196092	ENST00000358127	0.165	0	18.134	1.28782375e-06	1173	1	9	36833269	37034268	36833269	37034268	201000	201000	1264
PTPRT	ENSG00000196090	ENST00000356100	0.196	9	80.16	7.7001425e-06	4350	0	20	42072752	43189970	42072752	43189733	1117219	1116982	4363
IL1RAP	ENSG00000196083	ENST00000317757	0.444	7	29.598	2.383525e-06	2061	1	3	190514051	190659750	190514085	190659750	145700	145666	2485
ZNF724P	ENSG00000196081	ENST00000418100	1.235	2	5.046	3.5927075e-07	1857	1	19	23221599	23250394	23221599	23250394	28796	28796	1849
SYCP2	ENSG00000196074	ENST00000357552	0.183	9	85.955	6.8917875e-06	4590	1	20	59863564	59933655	59863571	59933637	70092	70067	4571
OR2L13	ENSG00000196071	ENST00000358120	1.581	5	6.4291	6.0077225e-07	936	1	1	248095184	248101163	248095184	248101163	5980	5980	906
NCR1	ENSG00000189430	ENST00000291890	1.454	16	16.688	1.79091e-06	912	1	19	54906148	54916140	54906148	54913073	9993	6926	912
SH2D5	ENSG00000189410	ENST00000375031	1.233	10	13.756	1.6781825e-06	1017	0	1	20719731	20732837	20719732	20732640	13107	12909	1322
HMGB1	ENSG00000189403	ENST00000326004	0.62	1	7.6452	9.1121675e-07	474	0	13	30456704	30617597	30461496	30465938	160894	4443	477
C8orf76	ENSG00000189376	ENST00000276704	1.611	20	17.953	1.6032095e-06	1140	1	8	123219967	123241377	123219967	123241377	21411	21411	1140
TBC1D28	ENSG00000189375	ENST00000345096	1.811	11	9.3232	6.5899525e-07	630	1	17	18634247	18644427	18635006	18642424	10181	7419	0
TMEM194B	ENSG00000189362	ENST00000409150	0.995	13	20.765	1.8587475e-06	1251	1	2	190504338	190534722	190504338	190534722	30385	30385	1157
FAM179A	ENSG00000189350	ENST00000379558	1.075	29	36.771	3.0339275e-06	3057	1	2	28956611	29052230	28981298	29052230	95620	70933	3023
KAZN	ENSG00000189337	ENST00000376030	0.381	8	37.873	3.3896975e-06	2325	1	1	13892792	15118043	14598685	15118043	1225252	519359	2290
C6orf222	ENSG00000189325	ENST00000437635	1.318	31	31.752	3.0014325e-06	1956	1	6	36315761	36336888	36315761	36336888	21128	21128	1923
FAM180A	ENSG00000189320	ENST00000338588	1.575	5	6.4624	4.592515e-07	519	1	7	135728348	135748813	135729592	135748813	20466	19222	522
FAM53B	ENSG00000189319	ENST00000337318	0.416	2	15.12	1.3566495e-06	1266	1	10	124619292	124744378	124619292	124744378	125087	125087	1278
RRP7A	ENSG00000189306	ENST00000323013	0.981	8	14.719	1.46781925e-06	840	1	22	42507982	42519800	42508344	42519796	11819	11453	0
ZKSCAN3	ENSG00000189298	ENST00000252211	1.191	19	23.407	2.2808475e-06	1614	1	6	28349947	28369172	28349947	28369172	19226	19226	1612
FAM150B	ENSG00000189292	ENST00000344414	1.46	2	4.1276	5.39752e-07	177	0	2	279558	288851	279951	286919	9294	6969	206
GJB5	ENSG00000189280	ENST00000338513	1.825	7	6.326	6.0439025e-07	819	1	1	34755047	34758512	34755047	34758512	3466	3466	822
AL450307.1	ENSG00000189275	ENST00000341866	1.691	4	4.9649	6.333845e-07	474	1	10	131772383	131790199	131772398	131790199	17817	17802	0
C22orf43	ENSG00000189269	ENST00000317749	1.775	25	19.276	1.8667875e-06	687	1	22	23608452	23632321	23608452	23632321	23870	23870	137
PNRC2	ENSG00000189266	ENST00000334351	1.832	0	0.51668	3.7196725e-08	417	1	1	23956839	23963462	23959828	23963462	6624	3635	0
TRIM64B	ENSG00000189253	ENST00000329862	1.302	9	12.046	8.5001225e-07	1347	1	11	89870438	89878487	89870438	89878487	8050	8050	0
TSPYL1	ENSG00000189241	ENST00000368608	1.321	11	13.778	1.27562975e-06	1311	1	6	116267760	116279930	116274858	116279930	12171	5073	1293
C15orf61	ENSG00000189227	ENST00000342683	1.322	2	4.6748	3.3488275e-07	471	1	15	67521131	67530146	67521131	67530146	9016	9016	455
BTBD8	ENSG00000189195	ENST00000342818	1.132	12	17.177	1.1995345e-06	1134	1	1	92080305	92184725	92080336	92147840	104421	67505	1210
PCDH18	ENSG00000189184	ENST00000344876	0.456	8	31.665	2.8315875e-06	3405	1	4	137518918	137532494	137518918	137532494	13577	13577	3437
KRT77	ENSG00000189182	ENST00000341809	1.263	20	23.011	1.89878e-06	1734	1	12	52689626	52703524	52689626	52703524	13899	13899	1710
ZNF33A	ENSG00000189180	ENST00000307441	1.018	19	27.391	2.060585e-06	2430	0	10	38010650	38065088	38010650	38060063	54439	49414	0
S100A13	ENSG00000189171	ENST00000339556	1.672	2	3.2822	2.311165e-07	294	0	1	153618779	153634412	153618799	153628180	15634	9382	296
ZAR1L	ENSG00000189167	ENST00000345108	0.688	4	13.313	1.15636975e-06	963	0	13	32303699	32315363	32303771	32311954	11665	8184	966
ZNF573	ENSG00000189144	ENST00000339503	1.363	13	15.156	1.55133475e-06	1821	0	19	37735833	37817300	37738302	37758596	81468	20295	1695
NKAPL	ENSG00000189134	ENST00000343684	0.949	9	16.553	1.9438375e-06	1206	1	6	28259297	28260958	28259297	28260958	1662	1662	1202
PLAC9	ENSG00000189129	ENST00000372263	1.692	4	4.9578	4.9099275e-07	291	1	10	80131682	80145359	80132730	80145359	13678	12630	0
ANKRD34B	ENSG00000189127	ENST00000338682	1.888	18	12.812	1.04933725e-06	1542	1	5	80556755	80570280	80556755	80570280	13526	13526	1537
SP6	ENSG00000189120	ENST00000342234	0.761	3	10.182	8.0132e-07	1128	0	17	47844908	47855874	47844908	47855874	10967	10967	1126
PRSS48	ENSG00000189099	ENST00000441586	0.872	0	3.4092	1.01111375e-06	555	0	4	151277161	151291862	151277171	151291453	14702	14283	983
SF3B3	ENSG00000189091	ENST00000302516	0.178	6	66.397	6.8596275e-06	3651	1	16	70523791	70577670	70523816	70577668	53880	53853	3653
ARID2	ENSG00000189079	ENST00000334344	0.096	3	80.435	6.607205e-06	5505	1	12	45729706	45908040	45729706	45908037	178335	178332	5531
VSTM1	ENSG00000189068	ENST00000338372	1.412	12	13.744	9.74783e-07	708	1	19	54040825	54063953	54040825	54063897	23129	23073	711
LITAF	ENSG00000189067	ENST00000339430	1.284	3	5.9893	4.25986e-07	483	0	16	11546875	11636381	11548000	11586373	89507	38374	783
APOD	ENSG00000189058	ENST00000343267	1.34	6	8.8021	6.2408825e-07	567	1	3	195568705	195584033	195568705	195583940	15329	15236	603
FAM111B	ENSG00000189057	ENST00000343597	1.879	1	1.1472	8.055745e-08	2202	1	11	59107185	59127412	59107237	59127412	20228	20176	2120
RELN	ENSG00000189056	ENST00000343529	0.17	22	184.3	1.598218e-05	10374	0	7	103471381	103989658	103471784	103989516	518278	517733	10369
CGB5	ENSG00000189052	ENST00000301408	1.875	2	2.0197	1.44393375e-07	495	1	19	49043848	49045311	49043848	49045311	1464	1464	0
RNF222	ENSG00000189051	ENST00000344001	1.858	5	4.5124	4.457175e-07	660	0	17	8390702	8397827	8390704	8393489	7126	2786	456
RNFT1	ENSG00000189050	ENST00000305783	0.926	13	22.319	1.8765025e-06	1305	1	17	59952240	59964761	59952240	59964740	12522	12501	0
NDUFA4	ENSG00000189043	ENST00000339600	1.4	3	5.4332	3.9997325e-07	243	1	7	10931943	10940153	10931943	10940153	8211	8211	246
ZNF567	ENSG00000189042	ENST00000360729	1.041	14	21.026	1.7713125e-06	1848	0	19	36687612	36727701	36689400	36721326	40090	31927	1916
KIR2DL4	ENSG00000189013	ENST00000345540	1.148	3	6.7376	5.4479375e-07	1026	1	19	54803610	54814517	54803610	54814517	10908	10908	0
ADAT2	ENSG00000189007	ENST00000237283	1.57	11	11.483	1.0891855e-06	573	1	6	143422832	143450695	143422832	143450695	27864	27864	545
SBSN	ENSG00000189001	ENST00000452271	0.995	11	18.294	1.4905825e-06	1770	1	19	35523367	35528351	35523367	35528311	4985	4945	1567
KCTD21	ENSG00000188997	ENST00000340067	1.678	4	5.0347	3.6499925e-07	780	1	11	78171249	78188626	78171249	78188626	17378	17378	780
ZNF292	ENSG00000188994	ENST00000339907	0.14	7	93.661	8.6404875e-06	8154	0	6	87151803	87265943	87155581	87261920	114141	106340	8096
LRRC66	ENSG00000188993	ENST00000343457	1.815	13	10.664	7.481555e-07	2640	1	4	51993652	52020363	51993702	52017620	26712	23919	2588
LIPI	ENSG00000188992	ENST00000344577	1.719	26	20.769	1.45046625e-06	1443	1	21	14108813	14210955	14108813	14206949	102143	98137	1439
SLC15A5	ENSG00000188991	ENST00000344941	1.181	16	20.582	1.6755025e-06	1737	1	12	16188485	16277685	16188485	16277685	89201	89201	1619
NELFB	ENSG00000188986	ENST00000343053	0.603	9	26.039	2.1069825e-06	1740	1	9	137255327	137273542	137255327	137273542	18216	18216	1740
MSANTD1	ENSG00000188981	ENST00000438480	0.486	1	9.757	6.99614e-07	834	1	4	3244369	3271738	3249159	3256613	27370	7455	780
NOC2L	ENSG00000188976	ENST00000327044	1.327	43	41.785	3.6074475e-06	2247	1	1	944203	959309	944203	959256	15107	15054	1482
C9orf152	ENSG00000188959	ENST00000400613	1.051	4	8.7061	7.60383e-07	717	1	9	110190048	110208159	110199561	110208159	18112	8599	719
UTS2B	ENSG00000188958	ENST00000340524	1.588	6	7.2495	6.69263e-07	357	1	3	191267168	191330526	191267168	191330526	63359	63359	360
PTPLAD2	ENSG00000188921	ENST00000495827	1.188	9	13.222	1.072134e-06	696	1	9	20999509	21031640	20999509	21031640	32132	32132	654
GJB3	ENSG00000188910	ENST00000373362	1.323	5	7.9056	7.3179075e-07	810	0	1	34781214	34786369	34782278	34786369	5156	4092	799
BSX	ENSG00000188909	ENST00000343035	1.327	4	6.8471	5.00758e-07	699	1	11	122977570	122981834	122977570	122981834	4265	4265	691
LRRK2	ENSG00000188906	ENST00000298910	0.64	72	136.85	1.26621625e-05	7581	1	12	40196744	40369285	40224997	40369285	172542	144289	7616
CTD-3088G3.8	ENSG00000188897	ENST00000598234	1.455	28	26.371	2.33696e-06	7474	1	16	11359845	11527247	11372015	11527245	167403	155231	0
MSL1	ENSG00000188895	ENST00000398532	0.115	0	25.962	1.8396525e-06	1842	1	17	40121971	40136917	40121971	40136917	14947	14947	1323
ASTL	ENSG00000188886	ENST00000342380	1.132	12	17.169	1.50808625e-06	1293	1	2	96122818	96138502	96122818	96138502	15685	15685	1296
KLRG2	ENSG00000188883	ENST00000340940	1.731	16	13.698	1.0911285e-06	1227	1	7	139452690	139483673	139452690	139483673	30984	30984	967
FBF1	ENSG00000188878	ENST00000319129	0.872	41	61.015	4.971065e-06	3399	1	17	75909574	75941140	75909844	75931289	31567	21446	3246
TMC3	ENSG00000188869	ENST00000359440	1.034	39	49.249	4.331885e-06	3300	1	15	81331088	81374213	81331088	81374213	43126	43126	3287
ZNF563	ENSG00000188868	ENST00000293725	0.625	0	4.7862	3.3876875e-07	1428	1	19	12317477	12333720	12317477	12333633	16244	16157	1256
FAM78B	ENSG00000188859	ENST00000338353	0.758	2	8.3066	5.9564675e-07	783	1	1	166057426	166167001	166070020	166166969	109576	96950	776
BEND4	ENSG00000188848	ENST00000502486	0.292	2	21.529	2.227415e-06	1602	1	4	42110853	42152878	42110853	42152655	42026	41803	1118
RPL14	ENSG00000188846	ENST00000338970	0.399	1	11.876	1.14250075e-06	645	0	3	40457292	40468587	40457292	40468587	11296	11296	651
SLX4	ENSG00000188827	ENST00000294008	0.872	45	66.172	6.178405e-06	5502	1	16	3581181	3611606	3581181	3611606	30426	30426	5463
CNR2	ENSG00000188822	ENST00000374472	1.683	8	8.2434	8.72541e-07	1080	1	1	23870515	23913362	23870515	23913362	42848	42848	1076
FAM26F	ENSG00000188820	ENST00000368604	1.919	1	0.65663	2.6242225e-07	474	0	6	116461370	116463771	116462467	116463768	2402	1302	423
ZDHHC11	ENSG00000188818	ENST00000283441	1.541	22	20.355	1.45237575e-06	1236	1	5	795605	858973	795605	850986	63369	55382	88
SNTN	ENSG00000188817	ENST00000343837	1.765	6	6.0937	4.2717525e-07	441	1	3	63652675	63679020	63652675	63665212	26346	12538	533
HMX2	ENSG00000188816	ENST00000339992	1.587	7	8.0943	5.8191175e-07	819	1	10	123148136	123150672	123148136	123150672	2537	2537	821
NHLRC3	ENSG00000188811	ENST00000379599	1.02	8	14.15	1.50212325e-06	840	0	13	39038306	39050109	39038391	39050109	11804	11719	1044
TMEM201	ENSG00000188807	ENST00000340381	0.286	3	27.076	2.406975e-06	1998	1	1	9588911	9614877	9588911	9614877	25967	25967	1907
SHISA6	ENSG00000188803	ENST00000409168	0.296	1	16.009	1.665017e-06	1500	0	17	11241213	11564063	11241423	11564063	322851	322641	1414
TMCO2	ENSG00000188800	ENST00000372766	1.566	7	8.2329	8.9138475e-07	546	1	1	40245947	40251684	40247937	40251684	5738	3748	549
MTF1	ENSG00000188786	ENST00000373036	0.321	5	32.799	3.1870225e-06	2259	1	1	37809574	37859592	37809574	37859592	50019	50019	2260
ZNF548	ENSG00000188785	ENST00000336128	1.068	1	4.4118	3.15034e-07	1635	1	19	57389850	57403498	57389854	57402992	13649	13139	1737
PLA2G2E	ENSG00000188784	ENST00000375116	1.736	7	7.0803	5.041415e-07	426	1	1	19920009	19923617	19920009	19923617	3609	3609	428
PRELP	ENSG00000188783	ENST00000343110	1.281	8	11.256	1.4261955e-06	1146	1	1	203475806	203491352	203475806	203491352	15547	15547	1143
CATSPER4	ENSG00000188782	ENST00000338855	1.256	18	21.254	2.2021225e-06	1449	0	1	26190561	26202968	26190561	26201603	12408	11043	1428
SKOR1	ENSG00000188779	ENST00000341418	0.736	20	39.496	2.969775e-06	2604	1	15	67819704	67834582	67819704	67833836	14879	14133	3172
ADRB3	ENSG00000188778	ENST00000345060	1.683	10	9.7818	7.0917825e-07	1224	1	8	37962990	37966599	37962990	37966599	3610	3610	1183
PLET1	ENSG00000188771	ENST00000338832	1.674	8	8.3109	7.53214e-07	621	1	11	112248153	112260860	112248153	112260860	12708	12708	624
OPTC	ENSG00000188770	ENST00000367222	1.809	13	10.739	7.9996325e-07	996	1	1	203494121	203508949	203494153	203508949	14829	14797	992
SPRED3	ENSG00000188766	ENST00000338502	0.687	3	11.288	1.030326e-06	1230	1	19	38388421	38399587	38390200	38399587	11167	9388	596
FZD9	ENSG00000188763	ENST00000344575	0.834	7	15.764	1.14189775e-06	1773	1	7	73433778	73436120	73433778	73436120	2343	2343	1549
NOXA1	ENSG00000188747	ENST00000341349	1.032	17	24.699	2.0895625e-06	1449	1	9	137423350	137434406	137423350	137434406	11057	11057	1240
FAM221A	ENSG00000188732	ENST00000344962	1.664	17	15.147	1.23425725e-06	894	1	7	23680130	23703249	23680199	23702650	23120	22452	893
VWC2	ENSG00000188730	ENST00000340652	0.274	0	10.93	7.78473e-07	975	1	7	49773638	49921950	49773638	49921950	148313	148313	774
SMIM15	ENSG00000188725	ENST00000339020	1.714	1	2.1337	1.50068275e-07	222	1	5	61157704	61162468	61157704	61162468	4765	4765	0
DUPD1	ENSG00000188716	ENST00000338487	1.881	9	7.0374	5.00289e-07	660	1	10	75037472	75073642	75037472	75073642	36171	36171	663
KRTAP24-1	ENSG00000188694	ENST00000340345	1.927	8	5.445	4.9250025e-07	762	1	21	30281309	30282950	30281309	30282950	1642	1642	712
UROS	ENSG00000188690	ENST00000368786	0.726	5	14.472	1.03054375e-06	795	0	10	125784980	125823288	125788583	125816632	38309	28050	830
SLC4A5	ENSG00000188687	ENST00000346834	0.702	25	49.763	4.28465e-06	3120	0	2	74216242	74343416	74216243	74334193	127175	117951	3412
PARVB	ENSG00000188677	ENST00000338758	1.195	16	20.339	1.8225675e-06	1092	1	22	43999211	44172939	44024302	44172939	173729	148638	992
C2orf80	ENSG00000188674	ENST00000341287	1.631	15	14.017	1.29938125e-06	579	1	2	208165343	208190030	208165347	208190030	24688	24684	715
